id_hecho,n_victimas,fecha,franja_hora,tipo_calle,comuna,pos_x,pos_y,participantes,acusado,gravedad,rol,vehiculo_victima,sexo_victima,edad_victima
2018-0079,1,2018-07-23,7,gral paz,9.0,-58.50877521,-34.66977709,peaton-cargas,cargas,fatal,peatón,peatón,masculino,
2018-0080,1,2018-07-25,22,avenida,9.0,-58.51232237,-34.6590353,peaton-auto,auto,fatal,peatón,peatón,masculino,26
2018-0081,1,2018-07-29,6,avenida,7.0,-58.44744156,-34.64567171,multiple,multiple,fatal,peatón,peatón,masculino,35
2018-0082,1,2018-08-01,15,avenida,9.0,-58.49441273,-34.65869968,moto-cargas,cargas,fatal,conductor,moto,femenino,17
2018-0083,1,2018-08-02,5,gral paz,8.0,-58.47976785,-34.69153196,moto-cargas,cargas,fatal,conductor,moto,masculino,
2018-0084,1,2018-08-03,7,avenida,1.0,-58.36523349,-34.62260331,peaton-cargas,cargas,fatal,peatón,peatón,masculino,45
2018-0085,2,2018-08-03,18,avenida,3.0,-58.39118948,-34.62704273,moto-pasajeros,pasajeros,fatal,pasajero,moto,femenino,22
2018-0085,2,2018-08-03,18,avenida,3.0,-58.39118948,-34.62704273,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,30
2018-0086,1,2018-08-10,21,avenida,9.0,-58.49019551,-34.65015854,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,40
2018-0087,1,2018-08-15,19,avenida,5.0,-58.41644362,-34.63023775,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,75
2018-0088,1,2018-08-17,16,gral paz,12.0,-58.5007381,-34.5497951,moto-cargas,cargas,fatal,conductor,moto,masculino,
2018-0089,1,2018-08-17,17,avenida,4.0,-58.39626094,-34.63036565,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,80
2018-0090,1,2018-08-18,10,avenida,8.0,-58.43284809,-34.67051543,moto-auto,auto,fatal,conductor,moto,masculino,27
2018-0091,1,2018-08-19,18,autopista,9.0,-58.52280139,-34.63659934,auto-auto,auto,fatal,pasajero,auto,femenino,23
2018-0092,1,2018-08-20,8,avenida,14.0,-58.4233693,-34.59774487,moto-auto,auto,fatal,conductor,moto,masculino,23
2018-0093,1,2018-08-20,8,calle,1.0,-58.38691681,-34.63105973,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,24
2018-0094,1,2018-08-23,5,calle,14.0,-58.4116902,-34.5857988,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,32
2018-0095,1,2018-08-26,0,avenida,9.0,-58.46739825,-34.65117757,auto-auto,auto,fatal,pasajero,auto,femenino,49
2018-0096,1,2018-08-31,22,autopista,8.0,-58.44483258,-34.67152226,peaton-auto,auto,fatal,peatón,peatón,masculino,39
2018-0097,1,2018-09-02,10,avenida,8.0,-58.43254025,-34.66128115,auto-movil,otro,fatal,conductor,auto,femenino,35
2018-0098,2,2018-09-09,5,gral paz,8.0,-58.47199387,-34.69640164,auto-auto,auto,fatal,conductor,auto,masculino,55
2018-0098,2,2018-09-09,5,gral paz,8.0,-58.47199387,-34.69640164,auto-auto,auto,fatal,pasajero,auto,masculino,54
2018-0099,1,2018-09-12,14,avenida,7.0,-58.46411215,-34.62925068,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,18
2018-0100,1,2018-09-20,10,avenida,1.0,-58.36217754,-34.62367156,moto-auto,auto,fatal,nan,moto,femenino,33
2018-0101,1,2018-09-21,0,gral paz,12.0,-58.48098594,-34.5407313,multiple,multiple,fatal,conductor,auto,masculino,
2018-0102,1,2018-09-21,0,calle,4.0,-58.41083404,-34.64640709,moto-auto,auto,fatal,conductor,moto,masculino,20
2018-0103,1,2018-09-27,17,avenida,7.0,-58.44609828,-34.64446729,peaton-moto,moto,fatal,peatón,peatón,masculino,1
2018-0104,1,2018-10-01,8,autopista,4.0,-58.37709334,-34.64035082,moto-moto,moto,fatal,conductor,moto,masculino,22
2018-0105,1,2018-10-03,18,avenida,7.0,-58.46963952,-34.63070603,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,56
2018-0106,1,2018-10-04,22,avenida,13.0,-58.43674281,-34.55161027,moto-moto,moto,fatal,conductor,moto,masculino,27
